scorer,Unnamed: 1,Unnamed: 2,sebastien,sebastien.1,sebastien.2,sebastien.3,sebastien.4,sebastien.5,sebastien.6,sebastien.7,sebastien.8,sebastien.9,sebastien.10,sebastien.11,sebastien.12,sebastien.13,sebastien.14,sebastien.15,sebastien.16,sebastien.17
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_148.png,816.1239008819914,250.19871773405163,826.8075527515587,320.58513005120057,840.6334551709987,412.9672962174585,652.0984221786355,341.952433790335,718.0856837259626,283.5065735627025,791.6143465929842,207.46411025578266,,,780.3022446134426,2.589374404081326,724.3701848257081,92.45774013044111
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_149.png,680.3632831525218,254.65051384293943,700.2125190825245,343.14502403086806,727.9187442348198,470.5109545817186,861.9496477694299,265.2580272800733,832.1757938744258,338.0385590234165,802.4019399794219,417.8490284919689,,,795.143548113891,4.570992596767979,842.9057564719565,74.32895480394231
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_150.png,882.0166510430859,359.13919999116615,768.710595942654,343.8387472951224,669.0508905440988,330.6059233417873,835.2882414578712,303.7267496865753,742.6584737845254,325.23008861074493,666.9832618013902,341.3575928038721,874.1596618207932,401.73235209096356,770.7782246853626,361.6203544824165,675.6673025207664,321.5083568738694
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_151.png,945.5758917567833,456.61082061460814,890.9904929492759,529.8048781064931,842.6079803698944,595.1419463760852,897.1933791774018,471.08422181356843,876.9306174988574,516.9855799016997,854.1867013290627,566.6086697267064,958.3951899615768,493.41461223482145,,,833.9239396505183,572.3980302062905
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_152.png,354.091215157016,433.2072925116842,476.08131097682417,467.1164038921055,607.5824990130918,500.6119895239849,390.48148102868765,388.54651166917813,495.1034954097434,456.3647344300207,591.8685205685065,527.491163179197,384.96290721187904,463.7850972300736,490.55471217578446,489.44679431335845,608.4095505101754,516.7394937171122
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_153.png,894.8624427011639,265.8706990273097,923.9775321223153,310.76779953656205,966.1535962370676,375.5284657256654,925.3380503195655,229.6809149804578,951.7321033462168,317.0261832439123,981.1192964068184,405.45986606516703,953.9056999032606,251.91390369049196,,,955.5415542985171,394.57572048716645
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_154.png,601.5491164435417,388.84387125724743,705.5451366686352,518.8389354320901,795.2672201775463,616.2077874218742,558.2173972704802,409.7450384383005,683.1146157914075,540.2498871785348,809.0314034431178,650.873137868499,642.1227157941381,321.93263092915015,710.2996709633439,489.27606634447363,762.2071254671712,633.3773579521132
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_155.png,592.0095425142761,421.48813001505545,712.3186999466795,545.3657794051996,801.530998890199,621.8334642139307,553.265915544519,434.23274414984394,686.8294716771024,554.5419015822474,815.2951821557706,653.4401072682061,625.1455392647262,345.530229771716,703.6523623350233,492.3481846044795,765.8460793127912,638.14657030646
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_156.png,583.983877600987,437.3552534714536,710.2661922894024,551.2417581291043,801.685291266292,627.166094567538,623.4955220740494,356.782488271483,707.1672397817111,507.8564230214278,766.0473374278436,641.8861189790712,546.02170938177,445.8773728676043,673.0787621971082,560.5386156521778,815.6305775509022,658.9303577713727
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_157.png,801.1329262188766,301.3712671529235,736.4025648914986,481.10799860564305,673.5575538940444,663.98696142946,923.0522475539382,334.6791229815743,806.5126959966678,471.0275609367531,659.1032013646297,601.141969610781,870.8908884260511,306.39886803271986,775.9949218198949,476.70884783582125,697.4386580730769,633.1929252194827
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_158.png,787.6858046121808,293.2196163810415,748.0934476837846,486.7822502532009,709.1295408653629,661.4913808261242,916.5180771569624,308.930869130405,,,687.1337870162538,606.1877711483643,871.2696692387951,306.4170686905068,784.5435540623081,486.15380014322636,,
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_159.png,758.7770995533518,322.12832143987043,665.1380331671447,465.4149465140664,598.5223215098431,573.508365429688,852.4161659395588,369.89052979793576,,,590.352470080174,522.6039065217499,818.4798600009335,366.1198291380885,703.4734898755919,469.81409728388826,607.3206230494867,540.8289597110117
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_160.png,843.1873091059581,326.47931147507376,759.5155913982964,482.2016749865553,700.635493752164,599.1871321518972,968.6948856674506,375.2878134712098,,,692.8881124829361,544.9554632673016,905.1663592597815,385.3594091212061,792.0545927290536,493.0480087634744,,
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_161.png,800.9175398758398,346.8673874681089,737.1944692018974,523.2528470935817,694.3725657090081,643.0522199605937,931.3286179017834,374.9808452730574,,,676.1778732521186,589.9107828843514,868.483606904329,395.0912487922428,767.3031391984275,532.0933727666934,,
labeled-data,video-youtube-2-train-eval,video-youtube-2-train-eval_162.png,738.4939336260045,354.59043163407136,729.0671819763863,543.7539147364091,724.0395810965899,673.8430875011396,804.4811951733316,385.38448702282403,756.0905367052917,543.7539147364091,737.2370334060554,635.5076307926925,870.4684567206587,351.44818108419867,,,697.6446764776591,624.1955288131506
