"tensor(9.5242, grad_fn=<AddBackward0>)"
"tensor(9.4975, grad_fn=<AddBackward0>)"
"tensor(9.4620, grad_fn=<AddBackward0>)"
"tensor(9.3906, grad_fn=<AddBackward0>)"
"tensor(9.3611, grad_fn=<AddBackward0>)"
"tensor(9.2587, grad_fn=<AddBackward0>)"
"tensor(9.1169, grad_fn=<AddBackward0>)"
"tensor(9.1331, grad_fn=<AddBackward0>)"
"tensor(8.9875, grad_fn=<AddBackward0>)"
"tensor(8.8162, grad_fn=<AddBackward0>)"
"tensor(8.7408, grad_fn=<AddBackward0>)"
"tensor(8.6050, grad_fn=<AddBackward0>)"
"tensor(8.4884, grad_fn=<AddBackward0>)"
"tensor(8.7702, grad_fn=<AddBackward0>)"
"tensor(8.2021, grad_fn=<AddBackward0>)"
"tensor(8.7959, grad_fn=<AddBackward0>)"
"tensor(8.4443, grad_fn=<AddBackward0>)"
"tensor(8.4967, grad_fn=<AddBackward0>)"
"tensor(8.5541, grad_fn=<AddBackward0>)"
"tensor(8.0509, grad_fn=<AddBackward0>)"
"tensor(8.0139, grad_fn=<AddBackward0>)"
"tensor(8.2139, grad_fn=<AddBackward0>)"
"tensor(8.3301, grad_fn=<AddBackward0>)"
"tensor(8.2571, grad_fn=<AddBackward0>)"
"tensor(8.1401, grad_fn=<AddBackward0>)"
"tensor(8.0592, grad_fn=<AddBackward0>)"
"tensor(8.2416, grad_fn=<AddBackward0>)"
"tensor(8.2160, grad_fn=<AddBackward0>)"
"tensor(8.3863, grad_fn=<AddBackward0>)"
"tensor(8.4638, grad_fn=<AddBackward0>)"
"tensor(8.1294, grad_fn=<AddBackward0>)"
"tensor(7.9230, grad_fn=<AddBackward0>)"
"tensor(7.7809, grad_fn=<AddBackward0>)"
"tensor(7.8386, grad_fn=<AddBackward0>)"
"tensor(8.0675, grad_fn=<AddBackward0>)"
"tensor(8.0947, grad_fn=<AddBackward0>)"
"tensor(7.8923, grad_fn=<AddBackward0>)"
"tensor(7.6056, grad_fn=<AddBackward0>)"
"tensor(7.9288, grad_fn=<AddBackward0>)"
"tensor(7.6293, grad_fn=<AddBackward0>)"
"tensor(7.5546, grad_fn=<AddBackward0>)"
"tensor(7.8088, grad_fn=<AddBackward0>)"
"tensor(7.3206, grad_fn=<AddBackward0>)"
"tensor(7.6545, grad_fn=<AddBackward0>)"
"tensor(7.8942, grad_fn=<AddBackward0>)"
"tensor(8.1206, grad_fn=<AddBackward0>)"
"tensor(7.8691, grad_fn=<AddBackward0>)"
"tensor(8.8881, grad_fn=<AddBackward0>)"
"tensor(7.9909, grad_fn=<AddBackward0>)"
"tensor(8.1251, grad_fn=<AddBackward0>)"
"tensor(7.8880, grad_fn=<AddBackward0>)"
"tensor(8.3139, grad_fn=<AddBackward0>)"
"tensor(8.0812, grad_fn=<AddBackward0>)"
"tensor(7.8077, grad_fn=<AddBackward0>)"
"tensor(7.9212, grad_fn=<AddBackward0>)"
"tensor(7.7654, grad_fn=<AddBackward0>)"
"tensor(7.5232, grad_fn=<AddBackward0>)"
"tensor(7.3045, grad_fn=<AddBackward0>)"
"tensor(7.7355, grad_fn=<AddBackward0>)"
"tensor(7.6447, grad_fn=<AddBackward0>)"
"tensor(9.5779, grad_fn=<AddBackward0>)"
"tensor(9.4864, grad_fn=<AddBackward0>)"
"tensor(9.5004, grad_fn=<AddBackward0>)"
"tensor(9.4468, grad_fn=<AddBackward0>)"
"tensor(9.3379, grad_fn=<AddBackward0>)"
"tensor(9.1929, grad_fn=<AddBackward0>)"
"tensor(9.0761, grad_fn=<AddBackward0>)"
"tensor(9.0519, grad_fn=<AddBackward0>)"
"tensor(8.8037, grad_fn=<AddBackward0>)"
"tensor(8.5846, grad_fn=<AddBackward0>)"
"tensor(8.6602, grad_fn=<AddBackward0>)"
"tensor(8.6370, grad_fn=<AddBackward0>)"
"tensor(8.2888, grad_fn=<AddBackward0>)"
"tensor(8.1731, grad_fn=<AddBackward0>)"
"tensor(8.0281, grad_fn=<AddBackward0>)"
"tensor(8.3111, grad_fn=<AddBackward0>)"
"tensor(8.0021, grad_fn=<AddBackward0>)"
"tensor(8.2371, grad_fn=<AddBackward0>)"
"tensor(8.5100, grad_fn=<AddBackward0>)"
